Day,Day_f,Jar,Block,Temp,Temp_f,Trt,Rep,Species,PredComp,Dens
5,5,13,A,19,19,Glauc,1,Glauc,No,750
5,5,14,A,19,19,Glauc,2,Glauc,No,831
5,5,15,A,19,19,Glauc,3,Glauc,No,704
5,5,31,A,19,19,GlaucP.cau,1,Glauc,Yes,857
5,5,31,A,19,19,GlaucP.cau,1,P.cau,Yes,1.43594
5,5,32,A,19,19,GlaucP.cau,2,Glauc,Yes,1094
5,5,32,A,19,19,GlaucP.cau,2,P.cau,Yes,0
5,5,33,A,19,19,GlaucP.cau,3,Glauc,Yes,978
5,5,33,A,19,19,GlaucP.cau,3,P.cau,Yes,2.94702
5,5,19,A,19,19,P.cau,1,P.cau,No,2.77335
5,5,20,A,19,19,P.cau,2,P.cau,No,1.39883
5,5,21,A,19,19,P.cau,3,P.cau,No,5.52946
5,5,7,A,19,19,Tetra,1,Tetra,No,1251
5,5,8,A,19,19,Tetra,2,Tetra,No,1532
5,5,9,A,19,19,Tetra,3,Tetra,No,1628
5,5,25,A,19,19,TetraP.cau,1,Tetra,Yes,1637
5,5,25,A,19,19,TetraP.cau,1,P.cau,Yes,0
5,5,26,A,19,19,TetraP.cau,2,Tetra,Yes,603
5,5,26,A,19,19,TetraP.cau,2,P.cau,Yes,1.43661
5,5,27,A,19,19,TetraP.cau,3,Tetra,Yes,1038
5,5,27,A,19,19,TetraP.cau,3,P.cau,Yes,0
5,5,79,A,22,22,Glauc,1,Glauc,No,731
5,5,80,A,22,22,Glauc,2,Glauc,No,966
5,5,81,A,22,22,Glauc,3,Glauc,No,968
5,5,97,A,22,22,GlaucP.cau,1,Glauc,Yes,972
5,5,97,A,22,22,GlaucP.cau,1,P.cau,Yes,8.57904
5,5,98,A,22,22,GlaucP.cau,2,Glauc,Yes,581
5,5,98,A,22,22,GlaucP.cau,2,P.cau,Yes,7.03685
5,5,99,A,22,22,GlaucP.cau,3,Glauc,Yes,557
5,5,99,A,22,22,GlaucP.cau,3,P.cau,Yes,4.52552
5,5,85,A,22,22,P.cau,1,P.cau,No,11
5,5,86,A,22,22,P.cau,2,P.cau,No,20
5,5,87,A,22,22,P.cau,3,P.cau,No,18
5,5,73,A,22,22,Tetra,1,Tetra,No,2199
5,5,74,A,22,22,Tetra,2,Tetra,No,1522
5,5,75,A,22,22,Tetra,3,Tetra,No,1584
5,5,91,A,22,22,TetraP.cau,1,Tetra,Yes,2679
5,5,91,A,22,22,TetraP.cau,1,P.cau,Yes,0
5,5,92,A,22,22,TetraP.cau,2,Tetra,Yes,766
5,5,92,A,22,22,TetraP.cau,2,P.cau,Yes,11
5,5,93,A,22,22,TetraP.cau,3,Tetra,Yes,836
5,5,93,A,22,22,TetraP.cau,3,P.cau,Yes,18
5,5,145,A,25,25,Glauc,1,Glauc,No,417
5,5,146,A,25,25,Glauc,2,Glauc,No,529
5,5,147,A,25,25,Glauc,3,Glauc,No,245
5,5,163,A,25,25,GlaucP.cau,1,Glauc,Yes,375
5,5,163,A,25,25,GlaucP.cau,1,P.cau,Yes,107
5,5,164,A,25,25,GlaucP.cau,2,Glauc,Yes,1121
5,5,164,A,25,25,GlaucP.cau,2,P.cau,Yes,70
5,5,165,A,25,25,GlaucP.cau,3,Glauc,Yes,728
5,5,165,A,25,25,GlaucP.cau,3,P.cau,Yes,136
5,5,151,A,25,25,P.cau,1,P.cau,No,103
5,5,152,A,25,25,P.cau,2,P.cau,No,157
5,5,153,A,25,25,P.cau,3,P.cau,No,68
5,5,139,A,25,25,Tetra,1,Tetra,No,981
5,5,140,A,25,25,Tetra,2,Tetra,No,1060
5,5,141,A,25,25,Tetra,3,Tetra,No,1197
5,5,157,A,25,25,TetraP.cau,1,Tetra,Yes,372
5,5,157,A,25,25,TetraP.cau,1,P.cau,Yes,123
5,5,158,A,25,25,TetraP.cau,2,Tetra,Yes,322
5,5,158,A,25,25,TetraP.cau,2,P.cau,Yes,117
5,5,159,A,25,25,TetraP.cau,3,Tetra,Yes,441
5,5,159,A,25,25,TetraP.cau,3,P.cau,Yes,107
5,5,16,B,19,19,Glauc,4,Glauc,No,367
5,5,17,B,19,19,Glauc,5,Glauc,No,1057
5,5,18,B,19,19,Glauc,6,Glauc,No,915
5,5,34,B,19,19,GlaucP.cau,4,Glauc,Yes,590
5,5,34,B,19,19,GlaucP.cau,4,P.cau,Yes,0
5,5,35,B,19,19,GlaucP.cau,5,Glauc,Yes,1665
5,5,35,B,19,19,GlaucP.cau,5,P.cau,Yes,1.40119
5,5,36,B,19,19,GlaucP.cau,6,Glauc,Yes,1521
5,5,36,B,19,19,GlaucP.cau,6,P.cau,Yes,7.27794
5,5,22,B,19,19,P.cau,4,P.cau,No,1.41152
5,5,23,B,19,19,P.cau,5,P.cau,No,5.60982
5,5,24,B,19,19,P.cau,6,P.cau,No,5.61488
5,5,10,B,19,19,Tetra,4,Tetra,No,993
5,5,11,B,19,19,Tetra,5,Tetra,No,1448
5,5,12,B,19,19,Tetra,6,Tetra,No,1002
5,5,28,B,19,19,TetraP.cau,4,Tetra,Yes,728
5,5,28,B,19,19,TetraP.cau,4,P.cau,Yes,5.54918
5,5,29,B,19,19,TetraP.cau,5,Tetra,Yes,1324
5,5,29,B,19,19,TetraP.cau,5,P.cau,Yes,4.19508
5,5,30,B,19,19,TetraP.cau,6,Tetra,Yes,744
5,5,30,B,19,19,TetraP.cau,6,P.cau,Yes,0
5,5,82,B,22,22,Glauc,4,Glauc,No,429
5,5,83,B,22,22,Glauc,5,Glauc,No,802
5,5,84,B,22,22,Glauc,6,Glauc,No,788
5,5,100,B,22,22,GlaucP.cau,4,Glauc,Yes,732
5,5,100,B,22,22,GlaucP.cau,4,P.cau,Yes,7.17972
5,5,101,B,22,22,GlaucP.cau,5,Glauc,Yes,991
5,5,101,B,22,22,GlaucP.cau,5,P.cau,Yes,19
5,5,102,B,22,22,GlaucP.cau,6,Glauc,Yes,1364
5,5,102,B,22,22,GlaucP.cau,6,P.cau,Yes,35
5,5,88,B,22,22,P.cau,4,P.cau,No,7.0576
5,5,89,B,22,22,P.cau,5,P.cau,No,18
5,5,90,B,22,22,P.cau,6,P.cau,No,7.07123
5,5,76,B,22,22,Tetra,4,Tetra,No,1194
5,5,77,B,22,22,Tetra,5,Tetra,No,1691
5,5,78,B,22,22,Tetra,6,Tetra,No,1172
5,5,94,B,22,22,TetraP.cau,4,Tetra,Yes,428
5,5,94,B,22,22,TetraP.cau,4,P.cau,Yes,11
5,5,95,B,22,22,TetraP.cau,5,Tetra,Yes,1238
5,5,95,B,22,22,TetraP.cau,5,P.cau,Yes,17
5,5,96,B,22,22,TetraP.cau,6,Tetra,Yes,543
5,5,96,B,22,22,TetraP.cau,6,P.cau,Yes,10
5,5,148,B,25,25,Glauc,4,Glauc,No,310
5,5,149,B,25,25,Glauc,5,Glauc,No,198
5,5,150,B,25,25,Glauc,6,Glauc,No,156
5,5,166,B,25,25,GlaucP.cau,4,Glauc,Yes,220
5,5,166,B,25,25,GlaucP.cau,4,P.cau,Yes,96
5,5,167,B,25,25,GlaucP.cau,5,Glauc,Yes,575
5,5,167,B,25,25,GlaucP.cau,5,P.cau,Yes,131
5,5,168,B,25,25,GlaucP.cau,6,Glauc,Yes,654
5,5,168,B,25,25,GlaucP.cau,6,P.cau,Yes,79
5,5,154,B,25,25,P.cau,4,P.cau,No,117
5,5,155,B,25,25,P.cau,5,P.cau,No,153
5,5,156,B,25,25,P.cau,6,P.cau,No,144
5,5,142,B,25,25,Tetra,4,Tetra,No,810
5,5,143,B,25,25,Tetra,5,Tetra,No,1170
5,5,144,B,25,25,Tetra,6,Tetra,No,1323
5,5,160,B,25,25,TetraP.cau,4,Tetra,Yes,763
5,5,160,B,25,25,TetraP.cau,4,P.cau,Yes,169
5,5,161,B,25,25,TetraP.cau,5,Tetra,Yes,363
5,5,161,B,25,25,TetraP.cau,5,P.cau,Yes,107
5,5,162,B,25,25,TetraP.cau,6,Tetra,Yes,318
5,5,162,B,25,25,TetraP.cau,6,P.cau,Yes,120
10,10,13,A,19,19,Glauc,1,Glauc,No,1735
10,10,14,A,19,19,Glauc,2,Glauc,No,1593
10,10,15,A,19,19,Glauc,3,Glauc,No,840
10,10,31,A,19,19,GlaucP.cau,1,Glauc,Yes,878
10,10,31,A,19,19,GlaucP.cau,1,P.cau,Yes,76
10,10,32,A,19,19,GlaucP.cau,2,Glauc,Yes,903
10,10,32,A,19,19,GlaucP.cau,2,P.cau,Yes,142
10,10,33,A,19,19,GlaucP.cau,3,Glauc,Yes,664
10,10,33,A,19,19,GlaucP.cau,3,P.cau,Yes,53
10,10,19,A,19,19,P.cau,1,P.cau,No,166
10,10,20,A,19,19,P.cau,2,P.cau,No,78
10,10,21,A,19,19,P.cau,3,P.cau,No,124
10,10,7,A,19,19,Tetra,1,Tetra,No,1800
10,10,8,A,19,19,Tetra,2,Tetra,No,2018
10,10,9,A,19,19,Tetra,3,Tetra,No,1880
10,10,25,A,19,19,TetraP.cau,1,Tetra,Yes,2166
10,10,25,A,19,19,TetraP.cau,1,P.cau,Yes,15
10,10,26,A,19,19,TetraP.cau,2,Tetra,Yes,684
10,10,26,A,19,19,TetraP.cau,2,P.cau,Yes,58
10,10,27,A,19,19,TetraP.cau,3,Tetra,Yes,421
10,10,27,A,19,19,TetraP.cau,3,P.cau,Yes,82
10,10,79,A,22,22,Glauc,1,Glauc,No,522
10,10,80,A,22,22,Glauc,2,Glauc,No,1413
